,Name,Overview,Rank,Academics,Cost,Student,Admission,Deadline,Accept rate,Housing and dorm,Student Activities,After college,Link
30,University of Southern California,"University of Southern California is a private institution that was founded in 1880. It has a total undergraduate enrollment of 20,699 (fall 2022), its setting is urban, and the campus size is 226 acres. It utilizes a semester-based academic calendar. University of Southern California's ranking in the 2024 edition of Best Colleges is National Universities, #28. Its tuition and fees are $68,237.",['#28 in National Universities (tie) #61 in Best Value Schools #8 in Business Programs (tie)'],"['79% 4-Year Graduation Rate', '9:1 Student/Faculty Ratio', '62% Classes With Fewer Than 20 Students']","$25,972","20,699","SAT Range : 1450-1550 , ACT Range : 32-35 , High School GPA : 3.8",Jan. 15 Application Deadline,12% Acceptance Rate,"coed dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
",106+ Sports Teams,"$57,711",https://www.usnews.com/best-colleges/university-of-southern-california-1328
31,University of Texas at Austin,"University of Texas at Austin is a public institution that was founded in 1883. It has a total undergraduate enrollment of 41,309 (fall 2022), its setting is urban, and the campus size is 431 acres. It utilizes a semester-based academic calendar. University of Texas at Austin's ranking in the 2024 edition of Best Colleges is National Universities, #32. Its in-state tuition and fees are $11,698; out-of-state tuition and fees are $41,070.",['#32 in National Universities #9 in Top Public Schools #173 in Best Value Schools'],"['72% 4-Year Graduation Rate', '18:1 Student/Faculty Ratio', '39% Classes With Fewer Than 20 Students']","$17,519","41,309","SAT Range : N/A , ACT Range : 29-34 , High School GPA : N/A",Dec. 1 Application Deadline,31% Acceptance Rate,"coed dorms
women's dorms
men's dorms
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
theme housing
wellness housing
",114+ Sports Teams,"$48,212",https://www.usnews.com/best-colleges/university-of-texas-at-austin-3658
32,Georgia Institute of Technology,"Georgia Institute of Technology is a public institution that was founded in 1885. It has a total undergraduate enrollment of 18,415 (fall 2022), its setting is urban, and the campus size is 400 acres. It utilizes a semester-based academic calendar. Georgia Institute of Technology's ranking in the 2024 edition of Best Colleges is National Universities, #33. Its in-state tuition and fees are $11,764; out-of-state tuition and fees are $32,876.",['#33 in National Universities (tie) #10 in Top Public Schools (tie) #94 in Best Value Schools'],"['56% 4-Year Graduation Rate', '22:1 Student/Faculty Ratio', '30% Classes With Fewer Than 20 Students']","$14,820","18,415","SAT Range : 1370-1550 , ACT Range : 31-35 , High School GPA : N/A",Jan. 4 Application Deadline,17% Acceptance Rate,"coed dorms
women's dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
other housing options
",98+ Sports Teams,"$80,777",https://www.usnews.com/best-colleges/georgia-institute-of-technology-1569
33,"University of California, Irvine","University of California, Irvine is a public institution that was founded in 1965. It has a total undergraduate enrollment of 28,661 (fall 2022), its setting is suburban, and the campus size is 1,475 acres. It utilizes a quarter-based academic calendar. University of California, Irvine's ranking in the 2024 edition of Best Colleges is National Universities, #33. Its in-state tuition and fees are $15,185; out-of-state tuition and fees are $47,759.",['#33 in National Universities (tie) #10 in Top Public Schools (tie) #190 in Best Value Schools'],"['73% 4-Year Graduation Rate', '18:1 Student/Faculty Ratio', '56% Classes With Fewer Than 20 Students']","$9,691","28,661","SAT Range : N/A , ACT Range : N/A , High School GPA : N/A",Nov. 30 Application Deadline,21% Acceptance Rate,"coed dorms
women's dorms
men's dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
theme housing
",96+ Sports Teams,"$37,809",https://www.usnews.com/best-colleges/university-of-california-irvine-1314
34,New York University,"New York University is a private institution that was founded in 1831. It has a total undergraduate enrollment of 29,401 (fall 2022), and the setting is Urban. It utilizes a semester-based academic calendar. New York University's ranking in the 2024 edition of Best Colleges is National Universities, #35. Its tuition and fees are $60,438.",['#35 in National Universities (tie) #66 in Best Value Schools #5 in Business Programs (tie)'],"['78% 4-Year Graduation Rate', '8:1 Student/Faculty Ratio', '59% Classes With Fewer Than 20 Students']","$39,565","29,401","SAT Range : 1470-1570 , ACT Range : 33-35 , High School GPA : 3.8",Jan. 5 Application Deadline,12% Acceptance Rate,"coed dorms
sorority housing
fraternity housing
apartment for single students
special housing for disabled students
special housing for international students
cooperative housing
theme housing
wellness housing
other housing options
",64+ Sports Teams,"$56,395",https://www.usnews.com/best-colleges/nyu-2785
35,"University of California, Santa Barbara","University of California, Santa Barbara is a public institution that was founded in 1909. It has a total undergraduate enrollment of 23,460 (fall 2022), its setting is suburban, and the campus size is 989 acres. It utilizes a quarter-based academic calendar. University of California, Santa Barbara's ranking in the 2024 edition of Best Colleges is National Universities, #35. Its in-state tuition and fees are $14,881; out-of-state tuition and fees are $45,658.",['#35 in National Universities (tie) #12 in Top Public Schools (tie) #207 in Best Value Schools'],"['73% 4-Year Graduation Rate', '17:1 Student/Faculty Ratio', '57% Classes With Fewer Than 20 Students']","$15,458","23,460","SAT Range : N/A , ACT Range : N/A , High School GPA : 3.9",Nov. 30 Application Deadline,26% Acceptance Rate,"coed dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for international students
cooperative housing
theme housing
wellness housing
",94+ Sports Teams,"$36,242",https://www.usnews.com/best-colleges/university-of-california-santa-barbara-1320
36,University of Illinois Urbana-Champaign,"University of Illinois Urbana-Champaign is a public institution that was founded in 1867. It has a total undergraduate enrollment of 35,120 (fall 2022), its setting is city, and the campus size is 1,783 acres. It utilizes a semester-based academic calendar. University of Illinois Urbana-Champaign's ranking in the 2024 edition of Best Colleges is National Universities, #35. Its in-state tuition and fees are $17,572; out-of-state tuition and fees are $36,068.",['#35 in National Universities (tie) #12 in Top Public Schools (tie) #150 in Best Value Schools'],"['72% 4-Year Graduation Rate', '21:1 Student/Faculty Ratio', '39% Classes With Fewer Than 20 Students']","$15,483","35,120","SAT Range : 1340-1530 , ACT Range : 29-34 , High School GPA : N/A",Jan. 5 Application Deadline,45% Acceptance Rate,"coed dorms
women's dorms
men's dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
cooperative housing
theme housing
wellness housing
other housing options
",82+ Sports Teams,"$50,616",https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775
37,University of Wisconsin--Madison,"University of Wisconsin—Madison is a public institution that was founded in 1848. It has a total undergraduate enrollment of 37,230 (fall 2022), and the campus size is 936 acres. It utilizes a semester-based academic calendar. University of Wisconsin—Madison's ranking in the 2024 edition of Best Colleges is National Universities, #35. Its in-state tuition and fees are $11,205; out-of-state tuition and fees are $40,603.",['#35 in National Universities (tie) #12 in Top Public Schools (tie) #89 in Best Value Schools'],"['72% 4-Year Graduation Rate', '18:1 Student/Faculty Ratio', '44% Classes With Fewer Than 20 Students']","$16,708","37,230","SAT Range : 1350-1510 , ACT Range : 28-33 , High School GPA : 3.8",Feb. 1 Application Deadline,49% Acceptance Rate,"coed dorms
women's dorms
men's dorms
apartments for married students
theme housing
wellness housing
other housing options
",126+ Sports Teams,"$50,967",https://www.usnews.com/best-colleges/university-of-wisconsin-3895
38,Boston College,"Boston College is a private institution that was founded in 1863. It has a total undergraduate enrollment of 9,484 (fall 2022), its setting is suburban, and the campus size is 405 acres. It utilizes a semester-based academic calendar. Boston College's ranking in the 2024 edition of Best Colleges is National Universities, #39. Its tuition and fees are $67,680.",['#39 in National Universities #51 in Best Value Schools in Business Programs'],"['88% 4-Year Graduation Rate', '11:1 Student/Faculty Ratio', '51% Classes With Fewer Than 20 Students']","$38,412","9,484","SAT Range : 1435-1540 , ACT Range : 33-35 , High School GPA : N/A",Jan. 1 Application Deadline,17% Acceptance Rate,"coed dorms
women's dorms
apartment for single students
special housing for disabled students
theme housing
wellness housing
",102+ Sports Teams,"$60,375",https://www.usnews.com/best-colleges/boston-college-2128
39,Rutgers University--New Brunswick,"Rutgers University—New Brunswick is a public institution that was founded in 1766. It has a total undergraduate enrollment of 36,344 (fall 2022), its setting is city, and the campus size is 2,656 acres. It utilizes a semester-based academic calendar. Rutgers University—New Brunswick's ranking in the 2024 edition of Best Colleges is National Universities, #40. Its in-state tuition and fees are $17,239; out-of-state tuition and fees are $36,001.",['#40 in National Universities (tie) #15 in Top Public Schools (tie) #161 in Best Value Schools'],"['70% 4-Year Graduation Rate', '15:1 Student/Faculty Ratio', '42% Classes With Fewer Than 20 Students']","$15,365","36,344","SAT Range : 1270-1480 , ACT Range : 28-33 , High School GPA : N/A",Rolling Application Deadline,66% Acceptance Rate,"coed dorms
women's dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
theme housing
wellness housing
other housing options
",111+ Sports Teams,"$49,190",https://www.usnews.com/best-colleges/rutgers-new-brunswick-6964
